Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_022631195.1	ASM2263119v1	2025-08-31	Aeromonas hydrophila		AC133					GCF_022631195.1-RS_2025_08_31	Complete Genome	2022-03-20		1	Aeromonas hydrophila
GCF_022631175.1	ASM2263117v1	2025-08-31	Aeromonas hydrophila		AC185					GCF_022631175.1-RS_2025_08_31	Complete Genome	2022-03-20		1	Aeromonas hydrophila
GCF_052063265.1	ASM5206326v1	2025-08-16	Aeromonas hydrophila		3					GCF_052063265.1-RS_2025_08_16	Complete Genome	2025-08-17		3	Aeromonas hydrophila
GCF_052063275.1	ASM5206327v1	2025-08-16	Aeromonas hydrophila		4					GCF_052063275.1-RS_2025_08_16	Complete Genome	2025-08-17		3	Aeromonas hydrophila
GCF_052063285.1	ASM5206328v1	2025-08-16	Aeromonas hydrophila		2					GCF_052063285.1-RS_2025_08_16	Complete Genome	2025-08-17		3	Aeromonas hydrophila
GCF_052058845.1	ASM5205884v1	2025-08-16	Aeromonas hydrophila		AH-7					GCF_052058845.1-RS_2025_08_16	Complete Genome	2025-08-16		2	Aeromonas hydrophila
GCF_052059235.1	ASM5205923v1	2025-08-16	Aeromonas hydrophila		AH-34					GCF_052059235.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_052058835.1	ASM5205883v1	2025-08-16	Aeromonas hydrophila		AH-12					GCF_052058835.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_052059225.1	ASM5205922v1	2025-08-16	Aeromonas hydrophila		AH-32					GCF_052059225.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_052059325.1	ASM5205932v1	2025-08-16	Aeromonas hydrophila		AH-40					GCF_052059325.1-RS_2025_08_16	Complete Genome	2025-08-16		2	Aeromonas hydrophila
GCF_052050085.1	ASM5205008v1	2025-08-15	Aeromonas hydrophila		BIDMC_4854					GCF_052050085.1-RS_2025_08_15	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_004684305.1	ASM468430v1	2025-07-23	Aeromonas hydrophila		WCX23					GCF_004684305.1-RS_2025_07_23	Complete Genome	2019-04-07		2	Aeromonas hydrophila
GCF_003491225.1	ASM349122v1	2025-07-08	Aeromonas hydrophila		ZYAH72					GCF_003491225.1-RS_2025_07_08	Complete Genome	2018-09-07		1	Aeromonas hydrophila
GCF_023823085.1	ASM2382308v1	2025-06-25	Aeromonas hydrophila		Ah27					GCF_023823085.1-RS_2025_06_25	Complete Genome	2022-06-21		1	Aeromonas hydrophila
GCF_050887685.1	LP-2	2025-06-12	Aeromonas hydrophila		LP-2					GCF_050887685.1-RS_2025_06_12	Complete Genome	2025-06-13		1	Aeromonas hydrophila
GCF_039718985.1	ASM3971898v1	2025-05-22	Aeromonas hydrophila		SHSK47					GCF_039718985.1-RS_2025_05_22	Complete Genome	2024-05-23		1	Aeromonas hydrophila
GCF_029962325.1	ASM2996232v1	2025-05-13	Aeromonas hydrophila		NN-MR659					GCF_029962325.1-RS_2025_05_13	Complete Genome	2023-05-10		1	Aeromonas hydrophila
GCF_022982835.1	ASM2298283v1	2025-05-07	Aeromonas hydrophila		Ah2111					GCF_022982835.1-RS_2025_05_07	Complete Genome	2022-04-14		8	Aeromonas hydrophila
GCF_050039675.1	ASM5003967v1	2025-05-01	Aeromonas hydrophila		14B-LG1					GCF_050039675.1-RS_2025_05_01	Complete Genome	2025-05-13		1	Aeromonas hydrophila
GCF_001895965.1	ASM189596v1	2025-04-30	Aeromonas hydrophila		MX16A					GCF_001895965.1-RS_2025_04_30	Complete Genome	2016-12-09		1	Aeromonas hydrophila
GCF_022869925.1	ASM2286992v1	2025-04-26	Aeromonas hydrophila		PartN-Ahydrophila-RM8376					GCF_022869925.1-RS_2025_04_26	Complete Genome	2022-04-11		1	Aeromonas hydrophila
GCF_000633175.1	ASM63317v1	2025-04-23	Aeromonas hydrophila subsp. hydrophila AL09-71		AL09-71			4		GCF_000633175.1-RS_2025_04_23	Complete Genome	2014-04-18		1	Aeromonas hydrophila
GCF_011602425.1	ASM1160242v1	2025-04-19	Aeromonas hydrophila		LHW39					GCF_011602425.1-RS_2025_04_19	Complete Genome	2020-03-21		1	Aeromonas hydrophila
GCF_029773045.1	ASM2977304v1	2025-04-16	Aeromonas hydrophila		YURI 17					GCF_029773045.1-RS_2025_04_16	Complete Genome	2023-04-17		3	Aeromonas hydrophila
GCF_028994095.1	ASM2899409v1	2025-04-13	Aeromonas hydrophila		K522					GCF_028994095.1-RS_2025_04_13	Complete Genome	2023-03-05		5	Aeromonas hydrophila
GCF_004684325.1	ASM468432v1	2025-04-13	Aeromonas hydrophila		23-C-23					GCF_004684325.1-RS_2025_04_13	Complete Genome	2019-04-07		2	Aeromonas hydrophila
GCF_018802305.1	ASM1880230v1	2025-04-13	Aeromonas hydrophila		4960					GCF_018802305.1-RS_2025_04_13	Complete Genome	2021-06-09		1	Aeromonas hydrophila
GCF_001019645.1	ASM101964v1	2025-04-13	Aeromonas hydrophila NJ-35		NJ-35					GCF_001019645.1-RS_2025_04_13	Complete Genome	2015-06-03		1	Aeromonas hydrophila
GCF_018802385.1	ASM1880238v1	2025-04-12	Aeromonas hydrophila		3019					GCF_018802385.1-RS_2025_04_12	Complete Genome	2021-06-09		1	Aeromonas hydrophila
GCF_029320915.1	ASM2932091v1	2025-04-12	Aeromonas hydrophila		516					GCF_029320915.1-RS_2025_04_12	Complete Genome	2023-03-21		2	Aeromonas hydrophila
