Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_030516985.1	ASM3051698v1	2025-07-21	Aeromonas caviae		OT55					GCF_030516985.1-RS_2025_07_21	Complete Genome	2023-07-21		1	Aeromonas caviae
GCF_024218755.1	ASM2421875v1	2025-07-20	Aeromonas caviae		FAHZZU2447					GCF_024218755.1-RS_2025_07_20	Complete Genome	2022-07-12		3	Aeromonas caviae
GCF_030505675.1	ASM3050567v1	2025-07-18	Aeromonas caviae		WZDHY22015					GCF_030505675.1-RS_2025_07_18	Complete Genome	2023-07-19		1	Aeromonas caviae
GCF_023921525.1	ASM2392152v1	2025-07-04	Aeromonas caviae		21006					GCF_023921525.1-RS_2025_07_04	Complete Genome	2022-06-27		1	Aeromonas caviae
GCF_050517515.1	ASM5051751v1	2025-05-23	Aeromonas caviae		AECA21					GCF_050517515.1-RS_2025_05_23	Complete Genome	2025-05-23		2	Aeromonas caviae
GCF_013487965.1	ASM1348796v1	2025-05-22	Aeromonas caviae		NY4617					GCF_013487965.1-RS_2025_05_22	Complete Genome	2020-07-23		1	Aeromonas caviae
GCF_029961805.1	ASM2996180v1	2025-05-12	Aeromonas caviae		W3					GCF_029961805.1-RS_2025_05_12	Complete Genome	2023-05-10		4	Aeromonas caviae
GCF_038442205.1	ASM3844220v1	2025-04-24	Aeromonas caviae		A20-9					GCF_038442205.1-RS_2025_04_24	Complete Genome	2024-04-25		2	Aeromonas caviae
GCF_029025765.1	ASM2902576v1	2025-04-16	Aeromonas caviae		K524					GCF_029025765.1-RS_2025_04_16	Complete Genome	2023-03-08		3	Aeromonas caviae
GCF_029773025.1	ASM2977302v1	2025-04-16	Aeromonas caviae		FIONA 16800					GCF_029773025.1-RS_2025_04_16	Complete Genome	2023-04-17		3	Aeromonas caviae
GCF_022343945.1	ASM2234394v1	2025-04-14	Aeromonas caviae		211703					GCF_022343945.1-RS_2025_04_14	Complete Genome	2022-02-20		1	Aeromonas caviae
GCF_028884875.1	ASM2888487v1	2025-04-14	Aeromonas caviae		CYEY0630					GCF_028884875.1-RS_2025_04_14	Complete Genome	2023-02-28		2	Aeromonas caviae
GCF_029590475.1	ASM2959047v1	2025-04-14	Aeromonas caviae		AC1520					GCF_029590475.1-RS_2025_04_14	Complete Genome	2023-04-05		2	Aeromonas caviae
GCF_037816745.1	ASM3781674v1	2025-04-05	Aeromonas caviae		BE3					GCF_037816745.1-RS_2025_04_05	Complete Genome	2024-04-06		2	Aeromonas caviae
GCF_014169735.1	ASM1416973v1	2025-04-03	Aeromonas caviae		WP8-S18-ESBL-04					GCF_014169735.1-RS_2025_04_03	Complete Genome	2020-07-21		2	Aeromonas caviae
GCF_026651325.1	ASM2665132v1	2025-03-25	Aeromonas caviae		BC02					GCF_026651325.1-RS_2025_03_25	Complete Genome	2022-12-05		5	Aeromonas caviae
GCF_026651305.1	ASM2665130v1	2025-03-25	Aeromonas caviae		BC01					GCF_026651305.1-RS_2025_03_25	Complete Genome	2022-12-05		5	Aeromonas caviae
GCF_026651405.1	ASM2665140v1	2025-03-25	Aeromonas caviae		BC11					GCF_026651405.1-RS_2025_03_25	Complete Genome	2022-12-05		6	Aeromonas caviae
GCF_015508545.1	ASM1550854v2	2025-03-23	Aeromonas caviae		KAM329					GCF_015508545.1-RS_2025_03_23	Complete Genome	2020-12-09		6	Aeromonas caviae
GCF_016861425.1	ASM1686142v1	2025-03-23	Aeromonas caviae		KAM376					GCF_016861425.1-RS_2025_03_23	Complete Genome	2021-01-20		8	Aeromonas caviae
GCF_016728865.1	ASM1672886v1	2025-03-23	Aeromonas caviae					Aero19		GCF_016728865.1-RS_2025_03_23	Complete Genome	2021-01-20		2	Aeromonas caviae
GCF_021654375.1	ASM2165437v1	2025-03-13	Aeromonas caviae		NUITM-VA2					GCF_021654375.1-RS_2025_03_13	Complete Genome	2021-11-27		1	Aeromonas caviae
GCF_047777995.1	ASM4777799v1	2025-02-16	Aeromonas caviae		BJ042					GCF_047777995.1-RS_2025_02_16	Complete Genome	2025-02-16		1	Aeromonas caviae
GCF_047778015.1	ASM4777801v1	2025-02-16	Aeromonas caviae		BJ093					GCF_047778015.1-RS_2025_02_16	Complete Genome	2025-02-16		1	Aeromonas caviae
GCF_014168635.1	ASM1416863v1	2025-02-13	Aeromonas caviae		WP2-W18-ESBL-01					GCF_014168635.1-RS_2025_02_13	Complete Genome	2020-07-21		2	Aeromonas caviae
GCF_003925855.2	ASM392585v2	2025-02-12	Aeromonas caviae		GSH8M-1					GCF_003925855.2-RS_2025_02_12	Complete Genome	2019-02-14		4	Aeromonas caviae
GCF_021609985.1	ASM2160998v1	2025-01-30	Aeromonas caviae		SCLZS52					GCF_021609985.1-RS_2025_01_30	Complete Genome	2022-01-26		9	Aeromonas caviae
GCF_020640975.1	ASM2064097v1	2025-01-30	Aeromonas caviae		71485					GCF_020640975.1-RS_2025_01_30	Complete Genome	2021-10-27		2	Aeromonas caviae
GCF_013488005.1	ASM1348800v1	2025-01-29	Aeromonas caviae		1605-27183					GCF_013488005.1-RS_2025_01_29	Complete Genome	2020-07-23		1	Aeromonas caviae
GCF_014158455.1	ASM1415845v1	2025-01-29	Aeromonas caviae		WP3-S18-ESBL-02					GCF_014158455.1-RS_2025_01_29	Complete Genome	2020-07-21		1	Aeromonas caviae
GCF_014169235.1	ASM1416923v1	2025-01-29	Aeromonas caviae		WP5-W18-ESBL-02					GCF_014169235.1-RS_2025_01_29	Complete Genome	2020-07-21		2	Aeromonas caviae
GCF_003294855.2	ASM329485v2	2025-01-29	Aeromonas caviae		R25-6					GCF_003294855.2-RS_2025_01_29	Complete Genome	2020-07-16		2	Aeromonas caviae
GCF_019972775.1	ASM1997277v2	2025-01-29	Aeromonas caviae		KAM345					GCF_019972775.1-RS_2025_01_29	Complete Genome	2021-08-05		7	Aeromonas caviae
GCF_019973835.1	ASM1997383v2	2025-01-29	Aeromonas caviae		KAM339					GCF_019973835.1-RS_2025_01_29	Complete Genome	2021-08-05		8	Aeromonas caviae
GCF_014169675.1	ASM1416967v1	2025-01-29	Aeromonas caviae		WP8-S18-CRE-01					GCF_014169675.1-RS_2025_01_29	Complete Genome	2020-07-21		4	Aeromonas caviae
GCF_013487985.1	ASM1348798v1	2025-01-29	Aeromonas caviae		1507-17068					GCF_013487985.1-RS_2025_01_29	Complete Genome	2020-07-23		1	Aeromonas caviae
GCF_016598815.1	ASM1659881v1	2025-01-29	Aeromonas caviae		Aero52					GCF_016598815.1-RS_2025_01_29	Complete Genome	2021-01-10		4	Aeromonas caviae
GCF_014162015.1	ASM1416201v1	2025-01-29	Aeromonas caviae		WP8-S17-ESBL-03					GCF_014162015.1-RS_2025_01_29	Complete Genome	2020-07-21		1	Aeromonas caviae
GCF_007179295.1	ASM717929v1	2025-01-28	Aeromonas caviae		WCW1-2					GCF_007179295.1-RS_2025_01_28	Complete Genome	2019-07-19		1	Aeromonas caviae
